match_id,league_code,home_team,away_team,disagreement_line_std,disagreement_water_std,disagreement_level,disagreement_outlier,bookmaker_line_mean,bookmaker_line_std
4843d446faab,LLG,巴利亚多利德,阿尔梅里亚,0.0,0.01527525231651948,一致,无异常,0.25,0.0
8b21d1ebf813,UCL,萨格勒布迪纳摩,切尔西,0.0,0.0,一致,无异常,-1.25,0.0
2364898cb2d1,UCL,多特蒙德,哥本哈根,0.0,0.050332229568471644,一致,无异常,1.5,0.0
5b4be35a55cd,UCL,本菲卡,海法马卡比,0.2886751345948129,0.13856406460551018,高度分歧,Macau异类(+2.00 vs 中位数+1.50),1.6666666666666667,0.2886751345948129
ff2fd2f6f04f,UCL,巴黎圣日耳曼,尤文图斯,0.14433756729740646,0.032145502536643174,轻微分歧,Macau异类(+1.50 vs 中位数+1.25),1.3333333333333333,0.14433756729740646
b1c545bd3c36,UCL,塞维利亚,曼彻斯特城,0.14433756729740646,0.1562049935181331,轻微分歧,Macau异类(-1.25 vs 中位数-1.00),-1.0833333333333333,0.14433756729740646
0baf919bc22c,UCL,凯尔特人,皇家马德里,0.0,0.05773502691896256,一致,无异常,-1.0,0.0
8ddd79e643fe,UCL,FC萨尔茨堡,AC米兰,0.14433756729740643,0.12701705922171772,轻微分歧,Macau异类(-0.50 vs 中位数-0.25),-0.3333333333333333,0.14433756729740643
851362da190b,UCL,RB莱比锡,顿涅茨克矿工,0.25,0.11269427669584642,高度分歧,Macau异类(+2.00 vs 中位数+1.75),1.75,0.25
c3ccdbdb42ff,UCL,阿贾克斯,格拉斯哥流浪者,0.0,0.06806859285554046,一致,无异常,1.25,0.0
82a19dc94b98,UCL,法兰克福,葡萄牙体育,0.0,0.020816659994661344,一致,无异常,0.25,0.0
08d74cf1e80f,FL1,洛里昂,里昂,0.14433756729740646,0.1069267662156363,轻微分歧,Crown异类(-0.75 vs 中位数-0.50),-0.5833333333333334,0.14433756729740646
642b668b6eed,UCL,那不勒斯,利物浦,0.0,0.055075705472861,一致,无异常,-0.5,0.0
5b4b4f6a5209,UCL,马德里竞技,波尔图,0.14433756729740646,0.11590225767142477,轻微分歧,Macau异类(+0.50 vs 中位数+0.75),0.6666666666666666,0.14433756729740646
44c36cb7500e,UCL,布鲁日,勒沃库森,0.0,0.03605551275463988,一致,无异常,-0.25,0.0
576b32244d5e,UCL,巴塞罗那,比尔森胜利,0.14433756729740643,0.005773502691896263,轻微分歧,Macau异类(+2.75 vs 中位数+2.50),2.5833333333333335,0.14433756729740643
a9e4ab5090f2,UCL,国际米兰,拜仁慕尼黑,0.14433756729740646,0.07937253933193772,轻微分歧,Macau异类(-0.75 vs 中位数-0.50),-0.5833333333333334,0.14433756729740646
1c140deaa5d0,UCL,托特纳姆热刺,马赛,0.0,0.01732050807568879,一致,无异常,1.25,0.0
ca7611057b68,UEL,马尔默,布拉加,0.14433756729740646,0.1266227994214839,轻微分歧,Macau异类(-0.25 vs 中位数+0.00),-0.08333333333333333,0.14433756729740646
731733ba4eec,UEL,柏林联合,圣吉罗斯联合,0.0,0.01527525231651948,一致,无异常,1.0,0.0
29bfe69d8ec3,UEL,卢多戈雷茨,罗马,0.0,0.06429100507328636,一致,无异常,-1.0,0.0
3e42c1948471,UEL,赫尔辛基,皇家贝蒂斯,0.14433756729740646,0.08736894948054105,轻微分歧,Macau异类(-1.50 vs 中位数-1.25),-1.3333333333333333,0.14433756729740646
7985b70f1c4e,UEL,AEK拉纳卡,雷恩,0.14433756729740646,0.06506407098647712,轻微分歧,Macau异类(-0.75 vs 中位数-0.50),-0.5833333333333334,0.14433756729740646
a8927c007723,UEL,PSV埃因霍温,博德闪耀,0.14433756729740646,0.08185352771872446,轻微分歧,Crown异类(+1.50 vs 中位数+1.25),1.3333333333333333,0.14433756729740646
79ceae3d025f,UEL,苏黎世,阿森纳,0.0,0.01732050807568879,一致,无异常,-1.5,0.0
436d84810418,UEL,费伦茨瓦罗斯,特拉布宗体育,0.0,0.10440306508910553,一致,无异常,0.0,0.0
c6de41a61b2f,UEL,贝尔格莱德红星,摩纳哥,0.14433756729740643,0.1115048578911849,轻微分歧,Macau异类(-0.25 vs 中位数-0.50),-0.4166666666666667,0.14433756729740643
32b59bebd611,UEL,南特,奥林匹亚科斯,0.0,0.02645751311064593,一致,无异常,0.25,0.0
b366db1c4d20,UEL,弗赖堡,卡拉巴赫,0.0,0.03511884584284249,一致,无异常,1.25,0.0
22389ee4e666,UEL,曼彻斯特联,皇家社会,0.0,0.04582575694955838,一致,无异常,0.75,0.0
d4c08de83c4d,UEL,格拉茨风暴,中日德兰,0.0,0.06110100926607787,一致,无异常,0.0,0.0
8c9dbda89f51,UEL,拉齐奥,费耶诺德,0.0,0.026457513110645932,一致,无异常,0.5,0.0
4b58d4ac3a03,UEL,奥莫尼亚,谢里夫,0.0,0.05507570547286101,一致,无异常,0.25,0.0
164938d82314,BUN,云达不来梅,奥格斯堡,0.14433756729740646,0.11239810200058242,轻微分歧,Bet365异类(+0.50 vs 中位数+0.75),0.6666666666666666,0.14433756729740646
93aa501ffbb6,LLG,赫罗纳,巴利亚多利德,0.0,0.025166114784235857,一致,无异常,0.25,0.0
73a822fc5bec,FL1,朗斯,特鲁瓦,0.14433756729740646,0.11135528725660047,轻微分歧,Macau异类(+1.25 vs 中位数+1.00),1.0833333333333333,0.14433756729740646
0cb037c82a2c,LLG,巴列卡诺,瓦伦西亚,0.0,0.020816659994661344,一致,无异常,0.25,0.0
03a69f87334e,ISA,那不勒斯,斯佩齐亚,0.0,0.020816659994661285,一致,无异常,1.75,0.0
435a24cd3757,BUN,法兰克福,沃尔夫斯堡,0.14433756729740643,0.09000000000000002,轻微分歧,Macau异类(+0.50 vs 中位数+0.25),0.3333333333333333,0.14433756729740643
b63546369c18,BUN,柏林赫塔,勒沃库森,0.0,0.050332229568471706,一致,无异常,-0.5,0.0
835c73241125,BUN,RB莱比锡,多特蒙德,0.0,0.020816659994661344,一致,无异常,0.25,0.0
6743efa421f1,BUN,拜仁慕尼黑,斯图加特,0.14433756729740643,0.06027713773341708,轻微分歧,Macau异类(+2.50 vs 中位数+2.25),2.3333333333333335,0.14433756729740643
7ee27fb2e189,BUN,霍芬海姆,美因茨,0.0,0.051961524227066305,一致,无异常,0.25,0.0
216b2b5b84c3,LLG,西班牙人,塞维利亚,0.0,0.07,一致,无异常,-0.25,0.0
8c74aebcbf6e,FL1,巴黎圣日耳曼,布雷斯特,0.0,0.04725815626252613,一致,无异常,3.0,0.0
0c32e9b5c197,ISA,国际米兰,都灵,0.0,0.010000000000000009,一致,无异常,1.25,0.0
395709052f0d,BUN,沙尔克04,波鸿,0.14433756729740643,0.10148891565092218,轻微分歧,Bet365异类(+0.25 vs 中位数+0.50),0.4166666666666667,0.14433756729740643
36b27d47ceab,LLG,加的斯,巴塞罗那,0.14433756729740646,0.03464101615137758,轻微分歧,Crown异类(-1.50 vs 中位数-1.75),-1.6666666666666667,0.14433756729740646
5acc40e0c79d,ISA,桑普多利亚,AC米兰,0.0,0.020816659994661344,一致,无异常,-1.0,0.0
6b987977684c,LLG,马德里竞技,维戈塞尔塔,0.14433756729740646,0.12288205727444512,轻微分歧,Macau异类(+0.75 vs 中位数+1.00),0.9166666666666666,0.14433756729740646
d21804abf2fe,FL1,马赛,里尔,0.0,0.05033222956847171,一致,无异常,0.5,0.0
4a5470fba761,ISA,亚特兰大,克雷莫纳,0.14433756729740646,0.12096831541082702,轻微分歧,Bet365异类(+1.25 vs 中位数+1.50),1.4166666666666667,0.14433756729740646
ab82cda656ae,FL1,斯特拉斯堡,克莱蒙,0.14433756729740646,0.1331665623695879,轻微分歧,Macau异类(+0.75 vs 中位数+1.00),0.9166666666666666,0.14433756729740646
684f11adf029,LLG,皇家马德里,马略卡,0.14433756729740646,0.07810249675906655,轻微分歧,Bet365异类(+1.50 vs 中位数+1.75),1.6666666666666667,0.14433756729740646
5af5a0ecdaec,FL1,洛里昂,南特,0.14433756729740646,0.11239810200058242,轻微分歧,Macau异类(+0.25 vs 中位数+0.00),0.08333333333333333,0.14433756729740646
8d29720e5554,FL1,图卢兹,兰斯,0.0,0.030550504633038912,一致,无异常,0.25,0.0
880c20f41ff1,FL1,昂热,蒙彼利埃,0.14433756729740646,0.19553345834749952,轻微分歧,Macau异类(+0.00 vs 中位数+0.25),0.16666666666666666,0.14433756729740646
a3f5550721ed,ISA,莱切,蒙扎,0.0,0.040414518843273774,一致,无异常,0.25,0.0
d87801e89559,ISA,萨索洛,乌迪内斯,0.14433756729740646,0.18520259177452134,轻微分歧,Bet365异类(+0.25 vs 中位数+0.00),0.08333333333333333,0.14433756729740646
a6585c5f392e,FL1,阿雅克肖,尼斯,0.0,0.01527525231651942,一致,无异常,-0.25,0.0
32e2c122e164,ISA,博洛尼亚,佛罗伦萨,0.14433756729740646,0.07810249675906655,轻微分歧,Macau异类(-0.25 vs 中位数+0.00),-0.08333333333333333,0.14433756729740646
cf4a258f2915,BUN,科隆,柏林联合,0.14433756729740646,0.20502032419575708,轻微分歧,Bet365异类(+0.25 vs 中位数+0.00),0.08333333333333333,0.14433756729740646
2394328ba6f2,LLG,埃尔切,毕尔巴鄂竞技,0.0,0.026457513110645932,一致,无异常,-0.5,0.0
f1f5bdf1c5c3,FL1,雷恩,欧塞尔,0.14433756729740646,0.08082903768654762,轻微分歧,Macau异类(+1.25 vs 中位数+1.00),1.0833333333333333,0.14433756729740646
fe8726537622,BUN,弗赖堡,门兴格拉德巴赫,0.0,0.01527525231651948,一致,无异常,0.25,0.0
