match_id,league_name,kickoff_time,home_team,away_team,market,asian_line,ou_line,water_hk,decimal_odds,bet_direction,goal_diff,total_goals,y_pred,y_true,result,bet_type,bet_detail,profit_original,profit_correct,profit_discrepancy
e449f14473fd,意甲,2023-02-27 22:00:00,维罗纳,威尼斯,over_under,,2.75,0.95,1.95,大球,2.0,4.0,1,1,win,FULL_WIN,"线2.75, 总球4.0",95.0,95.0,0.0
00f26de9203a,英超,2023-05-20 02:45:00,埃弗顿,水晶宫,over_under,,2.5,0.98,1.98,大球,1.0,5.0,1,1,win,FULL_WIN,"线2.5, 总球5.0",98.0,98.0,0.0
ad0f70260974,德甲,2024-12-22 01:30:00,勒沃库森,弗赖堡,asian,1.0,,0.84,1.84,主赢盘,4.0,6.0,2,2,win,FULL_WIN,"盘口+1.00, 净胜4.0",84.0,84.00000000000001,1.4210854715202004e-14
b28509cfcb79,英超,2023-04-23 22:00:00,莱斯特城,阿斯顿维拉,over_under,,2.5,1.05,2.05,小球,0.0,0.0,0,0,win,FULL_WIN,"线2.5, 总球0.0",105.0,104.99999999999999,-1.4210854715202004e-14
eba8d8cf4197,意甲,2023-04-30 21:00:00,卡利亚里,维罗纳,over_under,,2.25,1.03,2.03,小球,-1.0,3.0,0,1,lose,FULL_LOSE,"线2.25, 总球3.0",-100.0,-100.0,0.0
31ac265b098c,德甲,2025-05-04 21:30:00,斯图加特,拜仁慕尼黑,over_under,,3.5,1.03,2.03,大球,2.0,4.0,1,1,win,FULL_WIN,"线3.5, 总球4.0",103.0,102.99999999999999,-1.4210854715202004e-14
17576289a072,西甲,2023-10-09 00:30:00,阿拉维斯,皇家贝蒂斯,asian,0.0,,1.09,2.09,主赢盘,0.0,2.0,2,1,push,PUSH,实际走水-全额退款,0.0,0.0,0.0
625d7552d690,意甲,2026-01-20 01:00:00,维罗纳,拉齐奥,over_under,,2.5,0.85,1.85,大球,-3.0,3.0,1,1,win,FULL_WIN,"线2.5, 总球3.0",85.0,85.00000000000001,1.4210854715202004e-14
f0f9bfe523e2,意甲,2023-10-01 18:30:00,博洛尼亚,恩波利,over_under,,2.75,0.85,1.85,小球,3.0,3.0,0,1,lose,FULL_LOSE,"线2.75, 总球3.0",-100.0,-100.0,0.0
d2cd8a67534c,意甲,2023-02-28 01:00:00,斯佩齐亚,罗马,over_under,,2.75,0.91,1.91,大球,-1.0,1.0,1,0,lose,FULL_LOSE,"线2.75, 总球1.0",-100.0,-100.0,0.0
